COMMON_NAME,GUILD,SPECIES_NAME,SPECIES_CODE
"Mackerel sharks,porbeagles nei",undefined,Lamnidae,MSK
Murex,Benthic,Murex spp,MUE
Mullets nei,undefined,Mugilidae,MUL
Red mullet,Pelagic,Mullus barbatus,MUT
Common octopus,Benthic,Octopus vulgaris,OCC
"Octopuses, etc. nei",Benthic,Octopodidae,OCT
Oilfish,Pelagic,Ruvettus pretiosus,OIL
Cupped oysters nei,undefined,Crassostrea spp,OYC
European flat oyster,Benthic,Ostrea edulis,OYF
Pacific cupped oyster,undefined,Crassostrea gigas,OYG
Common pandora,Demersal,Pagellus erythrinus,PAC
Pelagic fishes nei,Pelagic,Osteichthyes,PEL
Penaeus shrimps nei,Benthic,Penaeus spp,PEN
Atlantic pomfret,Pelagic,Brama brama,POA
Offshore rockfish,Demersal,Pontinus kuhlii,POI
Pompano,undefined,Trachinotus ovatus,POP
Pompanos nei,undefined,Trachinotus spp,POX
Pelagic percomorphs nei,Demersal,Perciformes,PPX
Parrotfish,Demersal,Sparisoma cretense,PRR
Pink spiny lobster,Benthic,Palinurus mauritanicus,PSL
Atlantic redfishes nei,Demersal,Sebastes spp,RED
Common mora,Demersal,Mora moro,RIB
Red porgy,Demersal,Pagrus pagrus,RPG
Red scorpionfish,Demersal,Scorpaena scrofa,RSE
Requiem sharks nei,Pelagic,Carcharhinidae,RSK
Requiem sharks nei,undefined,Carcharhinidae,RSK
Atlantic sailfish,Pelagic,Istiophorus albicans,SAI
Atlantic saury,Pelagic,Scomberesox saurus,SAU
Axillary seabream,Demersal,Pagellus acarne,SBA
Gilthead seabream,Demersal,Sparus aurata,SBG
Bluntnose sixgill shark,Elasmobranchs,Hexanchus griseus,SBL
Pargo breams nei,Demersal,Pagrus spp,SBP
"Porgies, seabreams nei",Demersal,Sparidae,SBX
Great Atlantic scallop,Benthic,Pecten maximus,SCE
Spinous spider crab,Benthic,Maja squinado,SCR
Starry smooth-hound,undefined,Mustelus asterias,SDS
Silver scabbardfish,Demersal,Lepidopus caudatus,SFS
Bramble shark,Elasmobranchs,Echinorhinus brucus,SHB
Bramble shark,undefined,Echinorhinus brucus,SHB
Allis and twaite shads,undefined,"Alosa alosa, A. fallax",SHD
Raja rays nei,Demersal,Raja spp,SKA
Various sharks nei,Elasmobranchs,Selachimorpha (Pleurotremata),SKH
Skipjack tuna,Pelagic,Katsuwonus pelamis,SKJ
Salema,undefined,Sarpa salpa,SLM
Common spiny lobster,Benthic,Palinurus elephas,SLO
Salmonoids nei,undefined,Salmonoidei,SLX
Shortfin mako,Elasmobranchs,Isurus oxyrinchus,SMA
Smooth-hound,Pelagic,Mustelus mustelus,SMD
Snappers nei,undefined,Lutjanus spp,SNA
Snipefishes nei,undefined,Macroramphosidae,SNI
Scalloped hammerhead,Demersal,Sphyrna lewini,SPL
Hammerhead sharks nei,Demersal,Sphyrna spp,SPN
Hammerhead sharks nei,Elasmobranchs,Sphyrna spp,SPN
Smooth hammerhead,Demersal,Sphyrna zygaena,SPZ
Common squids nei,Pelagic,Loligo spp,SQC
Veined squid,Pelagic,Loligo forbesi,SQF
Northern shortfin squid,undefined,Illex illecebrosus,SQI
Various squids nei,Pelagic,"Loliginidae, Ommastrephidae",SQU
Various squids nei,undefined,"Loliginidae, Ommastrephidae",SQU
Sargo breams nei,Demersal,Diplodus spp,SRG
